Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
CEL,LA091,LA091 A,Terça,14:00,16:00,PB04,Joacyr Tupinambas De Oliveira
CEL,LA091,LA091 C,Terça,16:00,18:00,PB04,Joacyr Tupinambas De Oliveira
CEL,LA091,LA091 D,Terça,16:00,18:00,CI08,Joacyr Tupinambas De Oliveira
CEL,LA112,LA112 A,Segunda,08:00,12:00,CI10,Maria Victoria Guinle Vivacqua
CEL,LA112,LA112 B,Segunda,10:00,12:00,CI15,Guilherme Jotto Kawachi
CEL,LA112,LA112 C,Segunda,14:00,16:00,CI15,Guilherme Jotto Kawachi
CEL,LA112,LA112 D,Terça,10:00,12:00,CI10,Maria Victoria Guinle Vivacqua
CEL,LA115,LA115 A,Terça,08:00,10:00,CI06,Nivaldo Dos Santos
CEL,LA115,LA115 B,Terça,10:00,12:00,CI06,Nivaldo Dos Santos
CEL,LA116,LA116 A,Segunda,10:00,12:00,CI06,Damian Alejandro Dzienciarsky
CEL,LA167,LA167 A,Segunda,08:00,10:00,CI14,Patricia Aparecida De Aquino
CEL,LA167,LA167 B,Segunda,10:00,12:00,CI14,Patricia Aparecida De Aquino
CEL,LA167,LA167 C,Terça,10:00,12:00,CI14,Patricia Aparecida De Aquino
CEL,LA211,LA211 A,Segunda,12:00,14:00,CI03,Bartira Takiuti Ginde
CEL,LA211,LA211 B,Segunda,14:00,16:00,CI03,Bartira Takiuti Ginde
CEL,LA211,LA211 C,Terça,12:00,14:00,CI03,Bartira Takiuti Ginde
CEL,LA211,LA211 D,Terça,14:00,16:00,CI03,Bartira Takiuti Ginde
CEL,LA212,LA212 A,Segunda,14:00,16:00,CI07,Leny Pereira Costa
CEL,LA212,LA212 B,Terça,14:00,16:00,CI14,Emeli Borges Pereira Luz
CEL,LA212,LA212 C,Terça,19:00,21:00,CI07,Leny Pereira Costa
CEL,LA213,LA213 A,Segunda,14:00,16:00,CI11,Cynthia Pires Amaral
CEL,LA213,LA213 B,Segunda,14:00,16:00,CI09,Edilene Cristina Naressi
CEL,LA213,LA213 C,Terça,19:00,21:00,CI09,Tania Regina Gomes Soares
CEL,LA213,LA213 D,Terça,16:00,18:00,CI11,Cynthia Pires Amaral
CEL,LA213,LA213 E,Terça,14:00,16:00,CI09,Tania Regina Gomes Soares
CEL,LA213,LA213 F,Terça,16:00,18:00,CI09,Tania Regina Gomes Soares
CEL,LA213,LA213 G,Segunda,18:00,20:00,CI09,Edilene Cristina Naressi
CEL,LA213,LA213 H,Segunda,16:00,18:00,CI09,Edilene Cristina Naressi
CEL,LA213,LA213 I,Terça,14:00,16:00,CI11,Cynthia Pires Amaral
CEL,LA214,LA214 A,Segunda,14:00,16:00,CI10,Anisha Kathrin Vetter
CEL,LA214,LA214 B,Terça,14:00,16:00,CI10,Anisha Kathrin Vetter
CEL,LA214,LA214 C,Terça,19:00,21:00,CI10,Anisha Kathrin Vetter
CEL,LA217,LA217 A,Segunda,10:00,12:00,CI11,Meirelen Salviano Almeida
CEL,LA218,LA218 A,Segunda,14:00,16:00,CI04,Regina Celia Da Silva
CEL,LA218,LA218 C,Terça,19:00,21:00,CI04,Regina Celia Da Silva
CEL,LA267,LA267 A,Terça,08:00,10:00,CI14,Patricia Aparecida De Aquino
CEL,LA312,LA312 A,Segunda,14:00,16:00,CI14,Emeli Borges Pereira Luz
CEL,LA312,LA312 B,Terça,16:00,18:00,CI14,Emeli Borges Pereira Luz
CEL,LA317,LA317 A,Segunda,12:00,14:00,CI11,Meirelen Salviano Almeida
CEL,LA411,LA411 A,Segunda,12:00,14:00,CI13,Ayako Akamine
CEL,LA411,LA411 B,Terça,12:00,14:00,CI13,Ayako Akamine
CEL,LA411,LA411 C,Terça,16:00,18:00,CI13,Ayako Akamine
CEL,LA412,LA412 A,Segunda,16:00,18:00,CI07,Leny Pereira Costa
CEL,LA412,LA412 C,Terça,21:00,23:00,CI07,Leny Pereira Costa
CEL,LA413,LA413 A,Segunda,16:00,18:00,CI11,Cynthia Pires Amaral
CEL,LA413,LA413 B,Segunda,10:00,12:00,CI09,Edilene Cristina Naressi
CEL,LA413,LA413 C,Terça,21:00,23:00,CI09,Tania Regina Gomes Soares
CEL,LA414,LA414 A,Segunda,16:00,18:00,CI10,Anisha Kathrin Vetter
CEL,LA414,LA414 C,Terça,21:00,23:00,CI10,Anisha Kathrin Vetter
CEL,LA415,LA415 A,Terça,16:00,18:00,CI06,Nivaldo Dos Santos
CEL,LA416,LA416 A,Segunda,12:00,14:00,CI06,Damian Alejandro Dzienciarsky
CEL,LA418,LA418 A,Segunda,16:00,18:00,CI04,Regina Celia Da Silva
CEL,LA418,LA418 C,Terça,21:00,23:00,CI04,Regina Celia Da Silva
CEL,LA512,LA512 A,Segunda,16:00,18:00,CI14,Emeli Borges Pereira Luz
CEL,LA515,LA515 A,Terça,14:00,16:00,CI06,Nivaldo Dos Santos
CEL,LA611,LA611 A,Terça,19:00,21:00,CI13,Ayako Akamine
CEL,LA612,LA612 A,Segunda,16:00,18:00,CI15,Guilherme Jotto Kawachi
CEL,LA614,LA614 A,Segunda,12:00,14:00,CI15,Anisha Kathrin Vetter
CEL,LA614,LA614 B,Segunda,19:00,21:00,CI15,Anisha Kathrin Vetter
FCA,CP010,CP010 A,Quarta,16:00,18:00,UL02,"Cacilda Mendes Dos Santos Amaral, Larissa Rafaela Galatti"
FCA,CP038,CP038 A,Segunda,14:00,18:00,UL27,Milton Shoiti Misuta
FCA,CP039,CP039 A,Quinta,14:00,16:00,UL01,Fulvia De Barros Manchado Gobatto
FCA,CP102,CP102 A,Segunda,14:00,16:00,UL02,Eliana De Toledo Ishibashi
FCA,CP104,CP104 A,Segunda,09:00,12:00,UL02,Eliana De Toledo Ishibashi
FCA,CP105,CP105 A,Quinta,14:00,18:00,UL02,Cacilda Mendes Dos Santos Amaral
FCA,CP106,CP106 A,Terça,08:00,12:00,UL02,"Alcides Jose Scaglia, Luís Bruno de Godoy"
FCA,CP306,CP306 A,Sexta,08:00,10:00,UL25,Joana Pereira De Carvalho Ferreira
FCA,CP308,CP308 A,Quinta,14:00,18:00,UL27,Leandro Carlos Mazzei
FCA,CP506,CP506 A,Quinta,08:00,10:00,UL21,Jose Rodrigo Pauli
FCA,CP507,CP507 A,Sexta,08:00,09:00,UL06,Jose Rodrigo Pauli
FCA,CP509,CP509 A,Quarta,14:00,15:00,UL04,Andrea Maculano Esteves
FCA,CP607,CP607 A,Quarta,08:00,12:00,UL23,Claudio Alexandre Gobatto
FCA,CP610,CP610 A,Sexta,14:00,17:00,UL21,Luciano Allegretti Mercadante
FCA,CP701,CP701 A,Quarta,09:00,12:00,UL04,"Eliana De Toledo Ishibashi, Luís Bruno de Godoy"
FCA,CP702,CP702 A,Terça,08:00,09:00,LD18,Eduardo Rochete Ropelle
FCA,CP705,CP705 A,Quarta,14:00,15:00,UL02,Leandro Pereira De Moura
FCA,CP706,CP706 A,Terça,08:00,09:00,UL04,Andrea Maculano Esteves
FCA,CP707,CP707 ALC,Sábado,08:00,10:00,UL53,Alcides Jose Scaglia
FCA,CP707,CP707 AND,Sábado,08:00,10:00,UL57,Andrea Maculano Esteves
FCA,CP707,CP707 CAC,Sábado,10:00,12:00,UL53,Cacilda Mendes Dos Santos Amaral
FCA,CP707,CP707 DRI,Sábado,10:00,12:00,UL57,Adriana Souza Torsoni
FCA,CP707,CP707 EDU,Sábado,12:00,14:00,UL53,Eduardo Rochete Ropelle
FCA,CP707,CP707 FUL,Sábado,08:00,10:00,UL55,Fulvia De Barros Manchado Gobatto
FCA,CP707,CP707 GOB,Sábado,10:00,12:00,UL55,Claudio Alexandre Gobatto
FCA,CP707,CP707 JOA,Sábado,14:00,16:00,UL65,Joana Pereira De Carvalho Ferreira
FCA,CP707,CP707 JOS,Sábado,12:00,14:00,UL55,Josely Rimoli
FCA,CP707,CP707 JRP,Sábado,14:00,16:00,UL55,Jose Rodrigo Pauli
FCA,CP707,CP707 LA,Sábado,14:00,16:00,UL53,Larissa Rafaela Galatti
FCA,CP707,CP707 LEO,Sábado,14:00,16:00,UL57,Leonardo Tomazeli Duarte
FCA,CP707,CP707 LIK,Sábado,16:00,18:00,UL53,Eliana De Toledo Ishibashi
FCA,CP707,CP707 LU,Sábado,16:00,18:00,UL23,Eliana De Toledo Ishibashi
FCA,CP707,CP707 MAZ,Sábado,16:00,18:00,UL57,Leandro Carlos Mazzei
FCA,CP707,CP707 MC,Sábado,16:00,18:00,UL55,Maria Claudia Goncalves De Oliveira
FCA,CP707,CP707 MIL,Sábado,08:00,10:00,UL65,Milton Shoiti Misuta
